,home_or_away,avgGoalDif,avgHF,winStreak,avgPPG,daysSinceLast,win
310,1,0.875,20.125,1.0,1.0,2.0,False
311,1,0.125,21.5,0.0,0.75,3.0,False
312,1,-0.625,23.125,0.0,0.5,2.0,True
313,1,-0.25,23.375,1.0,0.75,2.0,False
314,1,-0.625,25.0,0.0,0.75,4.0,False
315,1,-0.875,24.5,0.0,0.5,3.0,True
316,0,-0.625,24.625,1.0,0.75,2.0,False
317,0,-0.875,22.5,0.0,0.75,2.0,False
318,0,-1.25,23.375,0.0,0.5,1.0,True
319,0,-0.875,23.875,1.0,0.75,2.0,True
320,1,-0.375,23.5,2.0,1.0,2.0,True
321,1,-0.375,25.875,3.0,1.0,2.0,True
322,1,0.125,25.5,4.0,1.25,2.0,True
323,1,0.625,24.625,5.0,1.5,1.0,True
324,1,0.625,25.75,6.0,1.5,3.0,False
325,0,0.875,26.125,0.0,1.5,2.0,False
326,1,0.875,23.0,0.0,1.5,2.0,True
327,1,0.0,0.0,0.0,0.0,0.0,False
328,1,0.0,0.0,0.0,0.0,1.0,False
329,1,0.0,0.0,0.0,0.0,3.0,False
330,0,0.0,0.0,0.0,0.0,2.0,True
331,0,0.0,0.0,1.0,0.0,2.0,False
332,0,0.0,0.0,0.0,0.0,1.0,False
333,1,0.0,0.0,0.0,0.0,2.0,True
334,1,0.0,0.0,1.0,0.0,2.0,False
335,0,0.125,25.25,0.0,0.5,3.0,True
336,0,0.75,25.125,1.0,0.75,3.0,True
337,1,1.125,23.375,2.0,1.0,2.0,True
338,1,1.625,21.875,3.0,1.25,3.0,True
339,1,1.125,21.875,4.0,1.25,3.0,False
340,1,1.375,21.875,0.0,1.25,2.0,False
341,0,1.375,21.375,0.0,1.25,2.0,False
342,0,1.0,22.25,0.0,1.0,2.0,True
343,0,1.125,21.875,1.0,1.25,1.0,True
344,0,1.125,21.25,2.0,1.25,2.0,False
345,1,0.125,22.125,0.0,1.0,2.0,False
346,1,-0.625,21.0,0.0,0.75,4.0,True
347,0,-0.375,20.375,1.0,0.75,1.0,False
348,1,-0.5,17.625,0.0,0.75,2.0,False
349,0,-0.5,17.625,0.0,0.75,2.0,False
350,0,-0.625,16.375,0.0,0.75,3.0,False
351,0,-1.0,16.5,0.0,0.5,2.0,False
352,1,-1.125,18.125,0.0,0.25,2.0,True
353,1,-0.125,18.625,1.0,0.5,2.0,False
354,1,-0.25,19.125,0.0,0.5,2.0,False
355,1,-0.875,17.625,0.0,0.25,1.0,True
356,0,-0.5,19.625,1.0,0.5,2.0,True
357,0,-0.375,19.625,2.0,0.75,2.0,True
358,0,-0.125,21.5,3.0,1.0,1.0,True
359,1,0.25,20.875,4.0,1.25,2.0,False
360,1,0.25,19.25,0.0,1.25,2.0,True
361,0,0.25,18.25,1.0,1.25,2.0,False
362,0,0.125,20.125,0.0,1.25,2.0,False
363,1,0.25,21.125,0.0,1.25,3.0,True
364,1,0.625,21.375,1.0,1.25,2.0,True
365,1,0.875,21.25,2.0,1.25,2.0,True
366,0,1.0,19.375,3.0,1.25,2.0,True
367,0,1.25,18.875,4.0,1.25,3.0,False
368,0,1.125,19.125,0.0,1.25,2.0,True
369,0,1.125,20.625,1.0,1.25,1.0,False
370,0,1.625,19.75,0.0,1.25,2.0,False
371,1,1.25,21.0,0.0,1.25,2.0,False
372,1,0.75,21.125,0.0,1.0,2.0,True
373,1,0.625,23.5,1.0,1.0,3.0,False
374,0,0.125,22.625,0.0,0.75,2.0,False
375,0,0.0,0.0,0.0,0.0,0.0,False
376,1,0.0,0.0,0.0,0.0,2.0,True
377,0,0.0,0.0,1.0,0.0,1.0,True
378,1,0.0,0.0,2.0,0.0,2.0,True
379,1,0.0,0.0,3.0,0.0,2.0,False
380,1,0.0,0.0,0.0,0.0,2.0,False
381,0,0.0,0.0,0.0,0.0,3.0,True
382,0,0.0,0.0,1.0,0.0,2.0,True
383,0,0.125,18.625,2.0,1.25,2.0,False
384,0,0.5,19.0,0.0,1.25,1.0,False
385,0,-0.25,18.875,0.0,1.0,2.0,True
386,0,-0.25,20.5,1.0,1.0,2.0,False
387,0,-0.375,20.125,0.0,0.75,1.0,True
388,1,0.125,19.375,1.0,1.0,3.0,True
389,1,0.625,18.875,2.0,1.25,2.0,False
390,1,0.375,17.0,0.0,1.0,3.0,True
391,0,0.5,17.125,1.0,1.0,3.0,False
392,0,0.5,17.625,0.0,1.0,2.0,True
393,0,1.0,17.75,1.0,1.25,2.0,False
394,0,0.375,19.25,0.0,1.0,1.0,False
395,1,0.125,18.25,0.0,1.0,4.0,False
396,1,-0.125,18.25,0.0,0.75,3.0,False
397,1,-0.375,18.0,0.0,0.5,2.0,False
398,1,-0.25,19.0,0.0,0.5,3.0,True
399,1,-0.25,19.625,1.0,0.5,1.0,False
400,1,-0.375,18.5,0.0,0.5,2.0,False
401,0,-0.75,18.375,0.0,0.25,3.0,True
402,0,0.125,17.625,1.0,0.5,2.0,False
403,0,0.0,18.875,0.0,0.5,1.0,True
404,0,0.25,20.125,1.0,0.75,2.0,True
405,1,0.625,20.375,2.0,1.0,3.0,True
406,1,0.75,20.625,3.0,1.25,2.0,True
407,1,0.5,20.875,4.0,1.25,1.0,True
408,1,0.875,21.5,5.0,1.5,4.0,True
409,1,1.5,22.125,6.0,1.75,1.0,True
410,0,1.625,20.25,7.0,1.75,3.0,False
411,0,2.0,18.75,0.0,1.75,2.0,False
412,0,1.5,18.625,0.0,1.5,1.0,False
413,1,1.25,20.75,0.0,1.25,2.0,True
414,0,1.25,19.5,1.0,1.25,7.0,True
415,1,1.25,18.75,2.0,1.25,1.0,False
416,1,1.0,17.25,0.0,1.0,2.0,False
417,0,0.25,16.375,0.0,0.75,3.0,False
418,0,-0.5,17.375,0.0,0.5,1.0,False
419,1,-0.625,19.5,0.0,0.5,2.0,False
420,1,-0.25,20.875,0.0,0.5,3.0,True
421,0,-0.125,18.625,1.0,0.75,3.0,False
422,0,-0.375,21.5,0.0,0.5,2.0,False
423,0,-1.625,23.625,0.0,0.25,1.0,False
424,1,-1.75,24.75,0.0,0.25,2.0,False
425,0,-1.5,24.875,0.0,0.25,3.0,True
426,1,-1.125,23.875,1.0,0.5,2.0,False
427,1,-1.125,22.0,0.0,0.5,3.0,True
428,1,-1.0,19.5,1.0,0.75,1.0,False
429,1,-1.375,20.75,0.0,0.5,2.0,False
430,0,-1.625,19.5,0.0,0.5,2.0,False
431,0,-0.75,19.375,0.0,0.5,3.0,False
432,0,-0.875,20.125,0.0,0.5,1.0,False
433,0,-1.125,20.75,0.0,0.5,2.0,False
434,0,-1.625,22.75,0.0,0.25,2.0,False
435,1,-1.75,25.5,0.0,0.25,18.0,True
436,1,-1.75,25.75,1.0,0.25,2.0,False
437,1,-1.5,27.125,0.0,0.25,2.0,False
438,0,-1.375,27.25,0.0,0.25,2.0,False
439,0,-1.375,27.25,0.0,0.25,2.0,False
440,1,-1.75,26.75,0.0,0.25,2.0,True
441,1,-1.375,25.875,1.0,0.5,2.0,False
442,0,-1.375,24.75,0.0,0.5,2.0,False
443,0,-1.125,23.25,0.0,0.5,2.0,False
444,0,-1.375,24.25,0.0,0.25,2.0,False
445,0,-1.375,23.5,0.0,0.25,1.0,False
446,1,-1.25,23.375,0.0,0.25,2.0,True
447,1,-0.875,23.5,1.0,0.5,4.0,True
448,0,0.0,23.75,2.0,0.75,3.0,True
449,0,0.25,23.375,3.0,0.75,1.0,False
450,1,0.5,23.5,0.0,0.75,2.0,False
451,1,0.0,23.375,0.0,0.75,3.0,False
452,1,-0.125,22.875,0.0,0.75,4.0,True
453,1,0.0,22.75,1.0,1.0,2.0,False
454,1,-0.25,22.5,0.0,1.0,3.0,False
455,0,-0.75,21.75,0.0,0.75,2.0,False
456,1,-1.375,20.5,0.0,0.5,1.0,True
457,0,0.0,0.0,0.0,0.0,0.0,True
458,1,0.0,0.0,1.0,0.0,3.0,False
459,0,0.0,0.0,0.0,0.0,6.0,True
460,1,0.0,0.0,1.0,0.0,1.0,False
461,0,0.0,0.0,0.0,0.0,3.0,False
462,0,0.0,0.0,0.0,0.0,2.0,True
463,0,0.0,0.0,1.0,0.0,1.0,False
464,1,0.0,0.0,0.0,0.0,2.0,True
465,1,0.0,18.0,1.0,1.0,2.0,True
466,1,0.125,18.875,2.0,1.0,2.0,True
467,0,0.25,17.5,3.0,1.25,2.0,True
468,1,0.125,18.625,4.0,1.25,1.0,False
469,0,0.125,19.375,0.0,1.25,2.0,True
470,0,0.875,18.5,1.0,1.5,2.0,True
471,0,0.625,20.5,2.0,1.5,2.0,False
472,0,0.625,20.5,0.0,1.5,1.0,False
473,1,0.375,20.75,0.0,1.25,2.0,True
474,1,0.125,20.125,1.0,1.25,3.0,False
475,0,-0.625,20.75,0.0,1.0,5.0,True
476,1,-0.625,19.375,1.0,1.0,1.0,False
477,1,-0.375,19.875,0.0,1.0,3.0,True
478,1,-0.375,20.0,1.0,1.0,2.0,True
479,0,-0.25,19.375,2.0,1.0,3.0,True
480,0,0.875,19.375,3.0,1.25,2.0,False
481,0,0.625,20.375,0.0,1.25,2.0,True
482,0,0.625,20.25,1.0,1.25,2.0,True
483,0,1.625,20.0,2.0,1.5,2.0,False
484,0,1.125,21.5,0.0,1.25,1.0,False
485,0,1.0,22.0,0.0,1.25,2.0,False
486,1,0.375,23.125,0.0,1.0,4.0,False
487,1,-0.375,22.625,0.0,0.75,4.0,False
488,1,-1.25,21.875,0.0,0.5,3.0,True
489,1,-0.875,19.125,1.0,0.75,2.0,True
490,0,-0.25,19.125,2.0,0.75,6.0,False
491,0,-0.75,18.125,0.0,0.5,2.0,True
492,1,-0.125,17.125,1.0,0.75,2.0,False
493,1,-0.125,16.25,0.0,0.75,2.0,True
494,1,0.5,15.0,1.0,1.0,3.0,True
495,1,1.125,14.375,2.0,1.25,2.0,False
